track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0ARoborzrtiYaTFUge7f9H,35,0.442,0.152,10,-13.911,1,0.0384,0.955,0.00989,0.138,0.473,126.236,234307,4
3Fo54IlOlnwzMwGjjEqCzN,51,0.476,0.779,1,-9.189,1,0.163,0.825,0.26,0.155,0.469,156.655,264413,4
0MTxfrDnNX0cIQkWhCm58d,54,0.828,0.822,11,-5.112,0,0.0495,0.508,0.563,0.214,0.889,125.032,201360,4
6kAOOamDflxqkrAWI6wZRR,53,0.699,0.638,10,-9.81,1,0.0381,0.511,0.0255,0.0742,0.965,87.987,327867,4
2Dc1pUBABcfMy42W6vxhC3,35,0.821,0.784,6,-6.59,0,0.0945,0.0164,0.876,0.145,0.645,92.021,192375,4
594a2gJwaid7KGIn9QhYJL,53,0.753,0.854,4,-8.338,0,0.0472,0.361,0.8,0.111,0.856,114.033,217147,4
5xRlNALFbZ7gaWGlySwfTM,44,0.87,0.414,5,-10.995,1,0.0452,0.564,3.47e-05,0.121,0.89,103.958,207622,4
6W1CYXq9pGEnNNCCW62xu8,51,0.526,0.719,9,-8.689,0,0.0367,0.769,0.0113,0.0906,0.223,141.909,311240,4
1dDUoKaxiCxP2Mhh4ze5el,56,0.805,0.878,10,-4.53,0,0.0935,0.31,0.503,0.358,0.936,129.998,127038,4
01Qf0YXl3Ru2R98N16ir1X,35,0.787,0.527,7,-12.258,1,0.048,0.125,0.173,0.21,0.508,116.017,191379,4
2P8kBO7P0SppnEX8gVN3up,46,0.77,0.341,10,-10.821,1,0.0447,0.76,0.000274,0.0712,0.637,108.851,221509,4
7dEFIvrudJoPhrzWSYgCJX,44,0.393,0.719,0,-9.58,0,0.068,0.0169,0.405,0.382,0.522,91.185,332213,3
2cH4QYxI5DmFPJySqiXaxv,56,0.52,0.637,6,-10.966,1,0.0464,0.897,0.946,0.119,0.617,77.951,94671,4
0t1qI2DYS68veTpLBGUsNM,51,0.588,0.902,11,-4.88,1,0.0459,0.17,0.447,0.332,0.665,137.947,207210,4
6Zmg9q5eSK3ROwDnP6Qm4j,42,0.748,0.882,8,-3.001,1,0.0819,0.0751,0.0,0.291,0.793,126.022,236223,4
3RZauEkvORMeP06npyaIYa,51,0.659,0.819,2,-7.596,0,0.0391,0.0476,0.0289,0.0819,0.878,124.75,289653,4
7wjmwD5nIYWVnHiR3X3PTO,53,0.692,0.711,5,-5.202,1,0.121,0.053,2.92e-05,0.387,0.894,132.062,212933,4
62YmOiT1RxAffnCSMqo4Kw,52,0.727,0.815,2,-5.424,1,0.0431,0.362,0.612,0.185,0.857,130.004,190154,4
7vr9frLcyCM4m6A4KS1sex,34,0.384,0.809,4,-11.839,0,0.0649,0.67,0.889,0.11,0.406,80.869,148108,4
1u7fLNwWhqMpgpakKhfpXp,38,0.536,0.111,9,-11.732,0,0.0352,0.897,7.55e-06,0.173,0.143,117.966,284067,4
37nNjtdPywMHpMZumunVP7,59,0.719,0.786,8,-7.139,0,0.109,0.0113,0.95,0.143,0.865,129.556,96884,4
5rKkaxFPXnlE6QDzoYKRIj,21,0.48,0.718,6,-7.926,0,0.101,0.00317,6.16e-05,0.255,0.492,162.058,263017,4
3L9nrJY59i6DWM6ZAuLF97,39,0.432,0.858,5,-9.506,0,0.0664,0.305,0.86,0.408,0.644,93.37,224693,4
017Zy32lho0ex9FOxSajEx,39,0.467,0.575,0,-9.453,1,0.0336,0.237,0.147,0.103,0.668,145.882,251240,4
